Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,227,2,2,68,358,34,34,34.0,0.0,179,179,179.0,0.0,1876651,17621,75.6666666667,88.7937685501,175,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,64,64,8810.5726872247,8810.5726872247,34,179,92.0,79.4197708382,6307.5,0,0,0,0,0,0,0,0,1,115.0,34.0,179.0,64,0,0,0,0,0,2,68,2,358,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,49288,2,2,180,308,90,90,90.0,0.0,154,154,154.0,0.0,9900,81,16429.3333333333,28410.5496309616,49235,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,0,0,0,0,64,40,40.5778282746,40.5778282746,90,154,115.6,35.0542436803,1228.8,0,0,0,0,0,0,0,0,1,144.5,90.0,154.0,64,0,0,0,0,0,2,180,2,308,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,479,3,1,18,0,6,6,6.0,0.0,0,0,0.0,0.0,37578,8350,159.6666666667,232.6571153722,427,3,479,239.5,334.4615075012,476,3,0,0.0,0.0,0,0,0,0,0,0,60,32,6263.0480167015,2087.6826722338,0,6,4.8,2.683281573,7.2,1,0,0,0,0,0,0,0,0,6.0,6.0,0.0,60,0,0,0,0,0,3,18,1,0,0,972,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,167,2,2,66,166,33,33,33.0,0.0,83,83,83.0,0.0,1389221,23952,55.6666666667,92.9587722237,163,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,80,80,11976.0479041916,11976.0479041916,33,83,53.0,27.3861278753,750.0,0,0,0,0,0,0,0,0,1,66.25,33.0,83.0,80,0,0,0,0,0,2,66,2,166,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,267,2,2,58,506,29,29,29.0,0.0,253,253,253.0,0.0,2112359,14981,89.0,148.0911881241,260,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,7490.6367041199,7490.6367041199,29,253,118.6,122.6898528812,15052.8,0,0,0,0,0,0,0,0,1,148.25,29.0,253.0,64,0,0,0,0,0,2,58,2,506,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
51017,48,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,250000,41666,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20833.3333333333,20833.3333333333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,1,6,1,6,32,32850,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,263,2,2,74,352,37,37,37.0,0.0,176,176,176.0,0.0,1619771,15209,87.6666666667,110.9519415483,213,2,2,2.0,0.0,2,2,48,48.0,0.0,48,48,0,0,0,0,64,64,7604.5627376426,7604.5627376426,37,176,92.6,76.1334354932,5796.3,0,0,0,0,0,0,0,0,1,115.75,37.0,176.0,64,0,0,0,0,0,2,74,2,352,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,179,2,2,86,204,43,43,43.0,0.0,102,102,102.0,0.0,1620111,22346,59.6666666667,98.1495457622,173,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,11173.1843575419,11173.1843575419,43,102,66.6,32.3156308928,1044.3,0,0,0,0,0,0,0,0,1,83.25,43.0,102.0,40,0,0,0,0,0,2,86,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,31358,2,2,86,118,43,43,43.0,0.0,59,59,59.0,0.0,6505,127,10452.6666666667,18060.3964611338,31307,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,63.7795777792,63.7795777792,43,59,49.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,61.75,43.0,59.0,64,0,0,0,0,0,2,86,2,118,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
45907,75,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,26666,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13333.3333333333,13333.3333333333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,70,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
42112,87,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,22988,87.0,0.0,87,87,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11494.2528735632,11494.2528735632,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,63,434,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,31540,2,2,68,422,34,34,34.0,0.0,211,211,211.0,0.0,15535,126,10513.3333333333,18203.5653192811,31533,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,63.4115409004,63.4115409004,34,211,104.8,96.9468926784,9398.7,0,0,0,0,0,0,0,0,1,131.0,34.0,211.0,64,0,0,0,0,0,2,68,2,422,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
45108,51643,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,58,25821.5,36444.9906091358,51592,51,51643,51643.0,0.0,51643,51643,0,0.0,0.0,0,0,0,0,0,0,64,32,38.7274170749,19.3637085375,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,2,0,1,0,19,545,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,255,2,2,78,282,39,39,39.0,0.0,141,141,141.0,0.0,1411764,15686,85.0,62.3538290725,157,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,64,64,7843.137254902,7843.137254902,39,141,79.8,55.8677008655,3121.2,0,0,0,0,0,0,0,0,1,99.75,39.0,141.0,64,0,0,0,0,0,2,78,2,282,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
21,62,1,2,6,12,6,6,6.0,0.0,6,6,6.0,0.0,290322,48387,31.0,25.4558441227,49,13,0,0.0,0.0,0,0,49,49.0,0.0,49,49,0,0,0,0,20,40,16129.0322580645,32258.064516129,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,2,8.0,6.0,6.0,20,0,0,0,0,0,1,6,2,12,255,229,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,70224,2,2,82,386,41,41,41.0,0.0,193,193,193.0,0.0,6664,56,23408.0,40498.817958059,70172,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,40,28.4802916382,28.4802916382,41,193,101.8,83.2538287408,6931.2,0,0,0,0,0,0,0,0,1,127.25,41.0,193.0,40,0,0,0,0,0,2,82,2,386,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,1478,3,1,18,6,6,6,6.0,0.0,6,6,6.0,0.0,16238,2706,492.6666666667,796.6940023204,1412,4,1478,739.0,1039.4469683442,1474,4,0,0.0,0.0,0,0,0,0,0,0,60,20,2029.7699594046,676.5899864682,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,7.5,6.0,6.0,60,0,0,0,0,0,3,18,1,6,0,290,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,1043,2,2,68,212,34,34,34.0,0.0,106,106,106.0,0.0,268456,3835,347.6666666667,596.1143626296,1036,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,80,80,1917.5455417066,1917.5455417066,34,106,62.8,39.4360241404,1555.2,0,0,0,0,0,0,0,0,1,78.5,34.0,106.0,80,0,0,0,0,0,2,68,2,212,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,205737,2,2,76,260,38,38,38.0,0.0,130,130,130.0,0.0,1633,19,68579.0,118737.281049382,205685,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,64,9.7211488454,9.7211488454,38,130,74.8,50.3904752905,2539.2,0,0,0,0,0,0,0,0,1,93.5,38.0,130.0,40,0,0,0,0,0,2,76,2,260,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,899198,4,2,204,322,51,51,51.0,0.0,161,161,161.0,0.0,584,6,179839.6,352032.810692839,805368,3,93826,31275.3333333333,54165.2702045631,93820,3,4,4.0,0.0,4,4,0,0,0,0,104,64,4.4484084707,2.2242042353,51,161,82.4285714286,53.6745040122,2880.9523809524,0,0,0,0,0,0,0,0,0,96.1666666667,51.0,161.0,104,0,0,0,0,0,4,204,2,322,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,198,2,2,70,166,35,35,35.0,0.0,83,83,83.0,0.0,1191919,20202,66.0,109.1237829256,192,2,4,4.0,0.0,4,4,2,2.0,0.0,2,2,0,0,0,0,40,40,10101.0101010101,10101.0101010101,35,83,54.2,26.2906827602,691.2,0,0,0,0,0,0,0,0,1,67.75,35.0,83.0,40,0,0,0,0,0,2,70,2,166,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,31016,2,2,132,296,66,66,66.0,0.0,148,148,148.0,0.0,13799,128,10338.6666666667,17862.9428239955,30965,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,64,64.4828475625,64.4828475625,66,148,98.8,44.9132497154,2017.2,0,0,0,0,0,0,0,0,1,123.5,66.0,148.0,40,0,0,0,0,0,2,132,2,296,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
58614,22,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,545454,90909,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,45454.5454545455,45454.5454545455,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,1,6,1,6,27740,50868,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
43040,51,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,39215,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19607.8431372549,19607.8431372549,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,352,246,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
56287,110,1,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,163636,36363,36.6666666667,60.0777274315,106,0,0,0.0,0.0,0,0,4,2.0,2.8284271247,4,0,0,0,0,0,32,60,9090.9090909091,27272.7272727273,0,6,3.6,3.286335345,10.8,0,0,0,0,1,0,0,0,3,4.5,0.0,6.0,32,0,0,0,0,0,1,0,3,18,972,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,169,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,1017751,23668,56.3333333333,92.3760430703,163,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,11834.3195266272,11834.3195266272,35,51,41.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,64,0,0,0,0,0,2,70,2,102,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,161,2,2,82,210,41,41,41.0,0.0,105,105,105.0,0.0,1813664,24844,53.6666666667,86.8926540815,154,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,12422.3602484472,12422.3602484472,41,105,66.6,35.0542436803,1228.8,0,0,0,0,0,0,0,0,1,83.25,41.0,105.0,64,0,0,0,0,0,2,82,2,210,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,598,1,1,56,116,56,56,56.0,0.0,116,116,116.0,0.0,287625,3344,598.0,0.0,598,598,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1672.2408026756,1672.2408026756,56,116,76.0,34.6410161514,1200.0,0,0,0,0,0,0,0,0,1,114.0,56.0,116.0,32,0,0,0,0,0,1,56,1,116,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,242,2,2,94,350,47,47,47.0,0.0,175,175,175.0,0.0,1834710,16528,80.6666666667,132.7905619136,234,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,8264.4628099174,8264.4628099174,47,175,98.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,122.75,47.0,175.0,40,0,0,0,0,0,2,94,2,350,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,166,2,2,72,232,36,36,36.0,0.0,116,116,116.0,0.0,1831325,24096,55.3333333333,89.779359172,159,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,12048.1927710843,12048.1927710843,36,116,68.0,43.8178046004,1920.0,0,0,0,0,0,0,0,0,1,85.0,36.0,116.0,64,0,0,0,0,0,2,72,2,232,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,23704,2,2,130,294,65,65,65.0,0.0,147,147,147.0,0.0,17887,168,7901.3333333333,13679.4486121822,23697,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,40,84.3739453257,84.3739453257,65,147,97.8,44.9132497154,2017.2,0,0,0,0,0,0,0,0,1,122.25,65.0,147.0,64,0,0,0,0,0,2,130,2,294,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,153,2,2,88,202,44,44,44.0,0.0,101,101,101.0,0.0,1895424,26143,51.0,82.2739326883,146,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,13071.8954248366,13071.8954248366,44,101,66.8,31.2201857778,974.7,0,0,0,0,0,0,0,0,1,83.5,44.0,101.0,40,0,0,0,0,0,2,88,2,202,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
80,200542,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,200542.0,0.0,200542,200542,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,4.9864866213,4.9864866213,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,450,130,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,387,2,2,94,230,47,47,47.0,0.0,115,115,115.0,0.0,837209,10335,129.0,221.7025033688,385,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,5167.9586563308,5167.9586563308,47,115,74.2,37.2451339104,1387.2,0,0,0,0,0,0,0,0,1,92.75,47.0,115.0,64,0,0,0,0,0,2,94,2,230,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,61887,2,2,90,164,45,45,45.0,0.0,82,82,82.0,0.0,4104,64,20629.0,35718.3519776599,61873,3,11,11.0,0.0,11,11,3,3.0,0.0,3,3,0,0,0,0,64,64,32.3169647907,32.3169647907,45,82,59.8,20.2657346277,410.7,0,0,0,0,0,0,0,0,1,74.75,45.0,82.0,64,0,0,0,0,0,2,90,2,164,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,221,2,2,94,350,47,47,47.0,0.0,175,175,175.0,0.0,2009049,18099,73.6666666667,86.4079471654,170,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,9049.7737556561,9049.7737556561,47,175,98.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,122.75,47.0,175.0,40,0,0,0,0,0,2,94,2,350,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,31311,2,2,54,86,27,27,27.0,0.0,43,43,43.0,0.0,4471,127,10437.0,18032.3956256511,31259,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,64,40,63.8753153844,63.8753153844,27,43,33.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,41.75,27.0,43.0,64,0,0,0,0,0,2,54,2,86,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,12201048,10,7,1450,4649,1058,0,145.0,329.6641388511,3327,0,664.1428571429,1224.1189251283,499,1,762565.5,2483582.87930283,10030310,26,12201048,1355672.0,3267281.81945926,10030310,258,11806817,1967802.83333333,3989771.65109225,10066560,176,0,0,0,0,212,164,0.819601726,0.5737212082,0,3327,338.8333333333,811.6872224317,658836.147058824,0,0,0,1,0,0,0,0,0,358.7647058824,145.0,664.1428571429,212,0,0,0,0,0,10,1450,7,4649,8192,64,9,20,1776703.0,0.0,1776703,1776703,10030310.0,0.0,10030310,10030310,BENIGN,
53,60981,2,2,92,348,46,46,46.0,0.0,174,174,174.0,0.0,7215,65,20327.0,35162.3709667025,60929,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,32.7971007363,32.7971007363,46,174,97.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,121.5,46.0,174.0,64,0,0,0,0,0,2,92,2,348,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,163,2,2,88,120,44,44,44.0,0.0,60,60,60.0,0.0,1276073,24539,54.3333333333,54.1971708979,111,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,12269.9386503067,12269.9386503067,44,60,50.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,63.0,44.0,60.0,64,0,0,0,0,0,2,88,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
40802,27,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,74074,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,37037.037037037,37037.037037037,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,29,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
60676,35,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,342857,57142,35.0,0.0,35,35,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,28571.4285714286,28571.4285714286,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,1,6,1,6,333,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,143,2,2,90,122,45,45,45.0,0.0,61,61,61.0,0.0,1482517,27972,47.6666666667,76.5005446604,136,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,13986.013986014,13986.013986014,45,61,51.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,64.25,45.0,61.0,40,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,556,3,1,18,0,6,6,6.0,0.0,0,0,0.0,0.0,32374,7194,185.3333333333,263.8282269457,488,4,556,278.0,387.4945160902,552,4,0,0.0,0.0,0,0,0,0,0,0,60,32,5395.6834532374,1798.5611510791,0,6,4.8,2.683281573,7.2,1,0,0,0,0,0,0,0,0,6.0,6.0,0.0,60,0,0,0,0,0,3,18,1,0,0,123,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,78731548,17,16,765,8536,370,0,45.0,99.2446472108,2757,0,533.5,824.1379334391,118,0,2460360.875,4302982.43501054,10004888,49,78731548,4920721.75,5051027.23569556,10020504,204,70210086,4680672.4,5135027.66197568,10025147,49,0,0,0,0,364,416,0.2159236092,0.2032222204,0,2757,273.5588235294,612.7348623887,375444.011586453,0,0,0,1,0,0,0,0,0,281.8484848485,45.0,533.5,364,0,0,0,0,0,17,765,16,8536,8192,62,15,20,58043.5,114542.6811904,341419,15141,9783400.0,522944.108350023,10004888,8506249,BENIGN,
54533,108,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18518,108.0,0.0,108,108,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9259.2592592593,9259.2592592593,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,229,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,189,2,2,104,212,52,52,52.0,0.0,106,106,106.0,0.0,1671957,21164,63.0,103.9230484541,183,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,10582.0105820106,10582.0105820106,52,106,73.6,29.5770181053,874.8,0,0,0,0,0,0,0,0,1,92.0,52.0,106.0,40,0,0,0,0,0,2,104,2,212,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,59855,1,1,46,78,46,46,46.0,0.0,78,78,78.0,0.0,2071,33,59855.0,0.0,59855,59855,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.7070420182,16.7070420182,46,78,56.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,85.0,46.0,78.0,32,0,0,0,0,0,1,46,1,78,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
63423,68,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,176470,29411,68.0,0.0,68,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14705.8823529412,14705.8823529412,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,1,6,1,6,1024,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,4,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3000000,500000,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,158561,9,10,522,4234,196,0,58.0,75.5132438715,1430,0,423.4,600.1044723861,29994,119,8808.9444444445,12129.7500118376,36293,3,149489,18686.125,12947.8433001408,38152,3,122305,13589.4444444444,22071.7273684634,52975,4,0,0,0,0,192,212,56.7604896538,63.0672107265,0,1430,237.8,457.6094174592,209406.378947368,0,0,0,1,0,0,0,0,1,250.3157894737,58.0,423.4,192,0,0,0,0,0,9,522,10,4234,8192,351,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,71985,1,1,47,195,47,47,47.0,0.0,195,195,195.0,0.0,3361,27,71985.0,0.0,71985,71985,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13.8917830103,13.8917830103,47,195,96.3333333333,85.4478398401,7301.3333333333,0,0,0,0,0,0,0,0,1,144.5,47.0,195.0,32,0,0,0,0,0,1,47,1,195,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,213,2,2,70,272,35,35,35.0,0.0,136,136,136.0,0.0,1605633,18779,71.0,80.5791536317,160,3,50,50.0,0.0,50,50,3,3.0,0.0,3,3,0,0,0,0,40,40,9389.6713615024,9389.6713615024,35,136,75.4,55.319978308,3060.3,0,0,0,0,0,0,0,0,1,94.25,35.0,136.0,40,0,0,0,0,0,2,70,2,272,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,157,2,2,84,192,42,42,42.0,0.0,96,96,96.0,0.0,1757961,25477,52.3333333333,84.5832922824,150,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,12738.8535031847,12738.8535031847,42,96,63.6,29.5770181053,874.8,0,0,0,0,0,0,0,0,1,79.5,42.0,96.0,64,0,0,0,0,0,2,84,2,192,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,24028,2,2,68,182,34,34,34.0,0.0,91,91,91.0,0.0,10404,166,8009.3333333333,13828.4232771973,23977,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,40,83.2362244049,83.2362244049,34,91,56.8,31.2201857778,974.7,0,0,0,0,0,0,0,0,1,71.0,34.0,91.0,40,0,0,0,0,0,2,68,2,182,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
